"id_plot","bsp","casp","cfla","ealb","equi","psp","satr","sbas","srob","sruf","sspc","tdod","teke","acur","alib","cdiv","cque","isp","mrob","nalb","nant","nque","ntri","trem","pmae","shem","stit","aner","aste","hann","mfag","btho","pfag","mpus","nnum","pmes","clut","cosp","ssam","arhy","aspc","tdec","oava","ioeh","clon","cesp","ppyg","cdis","esub","oque","cibi","ccur"
27,33,0,0,13,0,110,1,3,2,3,0,0,6,3,0,0,0,9,0,30,26,19,7,1,30,16,11,0,0,5,0,0,5,3,32,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
28,40,0,0,17,2,167,0,0,3,10,2,0,13,4,0,0,0,2,1,137,42,109,21,1,11,5,11,7,180,25,1,4,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,26,0,0,5,1,166,0,3,3,4,3,0,9,3,159,0,0,24,0,179,7,36,0,3,41,10,16,1,1170,3,0,1,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,23,2,1,12,2,125,0,2,8,20,1,0,15,1,0,0,0,74,8,195,17,274,10,13,45,12,13,12,1160,55,3,3,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,58,0,0,6,1,114,1,2,8,12,2,0,7,5,0,2,0,52,3,210,52,66,4,12,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0
32,64,4,1,23,2,109,0,2,18,3,1,0,27,0,289,0,0,11,1,35,5,20,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0
33,33,1,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,84,0,3,4,4,68,0,2,12,2,1,0,27,1,169,0,0,2,3,62,5,61,43,71,0,0,0,0,0,0,0,0,0,3,15,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
35,53,0,0,13,0,63,0,5,9,5,1,1,23,0,0,0,0,10,0,31,6,72,5,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,28,0,0,3,2,114,0,2,9,0,1,1,29,2,195,1,0,27,0,166,39,11,12,32,11,6,2,96,1495,1,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39,20,0,0,0,0,2,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,15,2,2,32,20,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,6,2,15,2,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,60,0,1,4,0,117,0,0,6,2,0,0,17,1,0,1,0,87,9,144,8,100,0,27,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
44,24,6,0,2,1,136,0,0,6,8,0,0,9,0,0,2,2,10,0,96,54,64,11,1,28,2,5,31,65,19,2,0,17,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,1
45,28,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,45,0,1,11,0,130,0,1,7,1,0,0,29,1,16,0,0,44,1,390,17,162,12,23,20,7,3,35,75,15,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,48,0,1,0,1,136,0,0,8,7,2,0,19,2,0,0,0,15,1,279,15,39,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
48,20,0,1,2,3,247,0,0,13,3,1,0,29,0,0,0,0,24,2,219,11,52,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
49,50,0,1,5,1,105,0,0,15,8,4,0,20,0,26,0,0,29,4,109,4,85,3,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,27,0,2,5,0,89,0,1,5,7,1,0,30,0,16,0,2,5,3,90,16,43,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
51,28,0,0,17,0,80,0,2,8,3,1,0,17,0,153,2,1,6,0,35,6,19,25,3,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
52,27,0,0,0,2,0,0,0,0,0,0,0,0,0,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,20,0,0,2,1,279,3,1,5,2,1,0,25,4,228,0,0,5,1,129,71,89,8,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
